MUNICIPIO,Latitud,Longitud
PUERTO LLERAS,3.2697276,-73.3756016
SAN PELAYO,8.9920713,-75.90462715586233
ALCALA,7.9127513,-72.4866911
VILLA DEL ROSARIO,7.8318933,-72.4717181
UBALA,4.7439273,-73.5348857
CHIA,4.8660334,-74.0306281
MALAMBO,10.85225585,-74.80616595646154
GAMARRA,8.32013985,-73.71478502643384
VALLEDUPAR,10.4651733,-73.2529512
LEIVA,1.9356061,-77.3068188
GENOVA,4.1929922,-75.74481182662177
YOPAL,5.3356662,-72.3936931
BARRANQUILLA,11.0101922,-74.8231794084391
EL PENON,9.7989329,-75.4965545
PUERTO GAITAN,6.2261784,-71.4326372
OVEJAS,9.5538396,-75.18883090053416
ARBELAEZ,4.2723465,-74.4145486
LA JAGUA DEL PILAR,10.4657314,-73.10391962339875
LOS ANDES,3.4113257499999996,-76.61192249177066
SAN CARLOS,8.687810500000001,-75.67933209123589
SANTA BARBARA,5.8721374,-75.57729401249455
CARTAGENA DEL CHAIRA,1.3345179,-74.8414067
ENTRERRIOS,6.5928214,-75.563170645712
PELAYA,8.6857187,-73.6690054
TOCAIMA,4.4579274,-74.6342234
GUAYATA,4.937329,-73.49967354962982
CHIMICHAGUA,9.2576662,-73.8126883
RIO QUITO,5.5515206,-76.79313608679024
FACATATIVA,4.8097329,-74.3541284
SANTAFE DE ANTIOQUIA,6.5564008,-75.8277746
EL RETORNO,2.3305016,-72.6264183
TIMBIQUI,2.660892,-77.42770536413153
BOLIVAR,9.3660477,-74.8023636
ARGELIA,5.7310785,-75.1428525
GUATICA,5.3157895,-75.7994422
GUACHETA,5.3912899,-73.67098056081277
ISNOS,2.06774625,-76.32055767602571
COYAIMA,3.7993906,-75.1945858
MELGAR,4.2039758,-74.6429479
ALTOS DEL ROSARIO,8.7441923,-74.20432528793287
MORELIA,1.4874697,-75.724859
RIO DE ORO,8.2924446,-73.385798
VIJES,3.7003997,-76.4428876
TIMANA,1.95016885,-75.92657973750607
TARQUI,2.12777655,-75.86771559734223
OTANCHE,5.6599976,-74.1816643
SAN JOSE DEL FRAGUA,1.3314207,-75.9727503
